name, address, phone
Inova Emergency Room – Ashburn HealthPlex,22505 Landmark Ct # 210 Ashburn VA 20148,571-612-6400
Sameday Health – Sterling,46900 Cedar Lake Plaza Sterling VA 20164,310-697-8126
Ace Medical Care,9845 Georgetown Pike Great Falls VA 22066,703-757-0311
Inova Health Care Services- Ashburn,21785 Filigree Ct Ashburn VA 20147,703-554-1100
Night Watch Pediatric Urgent Care,1170 Sudley Manor Dr Manassas VA 20109,703-214-6564
American Executive Health System – Annandale Primary Care & Urgent Care,7432 Little River Tpke Annandale VA 22003,703-658-7060
CareNow Urgent Care – Sterling at Cascades,46200 Potomac Run Plaza Sterling VA 20164,571-313-5087
Progressive Urgent and Primary Care,7306 Maple Place Annandale VA 22003,703-333-5001
Walgreens – Backlick Rd.,4300 Backlick Rd. Annandale VA 22003,703-813-6050
CVS Pharmacy – Little River Tpk.,7205 Little River Turnpike Annandale VA 22003,703-256-4030
CVS Pharmacy – Farmwell Hunt Plaza,43930 Farmwell Hunt Plaza Ashburn VA 20147,703-724-7582
Any Lab Test Now,20804 Edds Ln. Potomac Falls VA 20165,703-444-6633
CVS Pharmacy – Arlington Blvd.,6637-6655 Arlington Boulevard Falls Church VA 22042,703-538-6926
Kaiser Permanente- Falls Church Medical Center,201 N. Washington St. Falls Church VA 22046,703-237-4000
Mclean Medical Center & Urgent Care,6858 Old Dominion Drive McLean VA 22101,703-356-7070
Medical Access McLean,6858 Old Dominion Drive McLean VA 22101,240-221-7854
Virginia Medical Alliance, 5510 Alma Lane Springfield VA 22151,703-642-5990
Mclean Pharmacy,1392 Chain Bridge Rd Mclean VA 22101,571-488-6030
McLean Immediate Care,1340 Old Chain Bridge Road McLean VA 22101,703-893-2273
CVS Pharmacy – Silverbrook Rd.,9009 Silverbrook Road Fairfax Station VA 22079,703-493-8531
Arjun Medical Center, 7350 Heritage Village Plz Gainesville Virginia 20155,571-248-6666
CVS Pharmacy – Russell Branch Pkwy.,44835 Russell Branch Parkway Ashburn VA 20147,571-223-0006
PM Pediatrics – Springfield,6358 Springfield Plaza Springfield VA 22150,703-644-5437
Express Healthcare LLC,6305 Castle Place Falls Church VA 22044,703-344-8377
The Wellness NPs,4131 Old Columbia Pke. Annandale VA 22003,202-630-7748
CVS Pharmacy – Bristow Center Dr.,10250 Bristow Center Dr. Bristow VA 20136,703-369-1739
Personic Healthcare,7001 Backlick Rd. Springfield VA 22150,703-988-2360
Next Care Urgent Care – Woodbridge,12581 Milstead Way Suite 103 Woodbridge VA 22192,703-897-5890
CVS Pharmacy – McGraws Corner Dr.,14380 McGraws Corner Dr. Gainesville VA 22401,703-753-3051
CVS Pharmacy – Charles St.,3401 Charles Street Falls Church VA 22041,703-933-3444
CVS Pharmacy – Hoadly Rd.,6360 Hoadly Road Manassas VA 20112,703-897-4961
Blue Nile Medical Center,85 South Bragg Street Alexandria VA 22312,703-845-0700
Preston’s Pharmacy,5101 Lee Hwy Arlington VA 22207,703-522-3412
CVS Pharmacy – Touchstone Cir.,12890 Touchstone Circle Woodbridge VA 22192,703-590-0643
Patient First – Gainesville,14800 Lee Hwy Gainesville VA 20155,703-743-7017
Arlington Urgent and Primary Care,2221 N Buchanan St. Arlington VA 22207,703-907-0000
Inova Emergency Room – HealthPlex Franconia,6355 Walker Ln Alexandria VA 22310,703-797-6800
PM Pediatrics – Ashburn,19800 Belmont Chase Drive Ashburn VA 20147,703-723-6767
Millennium Medical Care,13168 Centerpointe Way Woodbridge VA 20193,703-730-2000
Inova Urgent Care Center – North Arlington,4600 Lee Highway Arlington VA 22207,571-492-3080
Inova Loudoun Hospital,44045 Riverside Pkwy Leesburg VA 20176,703-858-6000
Family Medicine Associates of Alexandria,1800 N. Beauregard St. Alexandria VA 22311,703-370-2400
Inova Emergency Room – Lorton HealthPlex,9321 Sanger St Lorton VA 22079,703-982-8324
CN Internal Medicine,5226 Dawes Ave Alexandria VA 22311,703-212-9190
Patient First – Lake Ridge,2199 Old Bridge Rd Lake Ridge VA 22192,703-357-9707
CVS Pharmacy – Tacketts Mill Rd.,2200 Tacketts Mill Road Woodbridge VA 22192,703-494-9108
Skyline Pharmacy and Clinic,5100 Leesburg Pke. Alexandria VA 22302,703-417-9074
Northern Virginia Internal Medicine and Pediatrics, 2501 North Glebe Rd. Arlington VA 22207,703-527-6664
Alexandria Health Care Center,5249 Duke Street Alexandria VA 22304,703-212-2056
Loudoun Family Medicine LLC,19415 Deerfield Ave Lansdowne VA 20176,571-223-3833
COVID-19 Walk-up Sample Collection Site,909 South Dinwiddie Street Arlington VA 22204,703-912-0118
Sameday Testing – Arlington,4238 Wilson Blvd. Arlington VA 22203,310-697-8126
Gainesville Family Practice,7915 Lake Manassas Drive Gainesville VA 20155,703-754-4101
CVS Pharmacy – Landsdowne Center,6400 Landsdowne Center Alexandria VA 22315,703-541-3561
Virginia Hospital Center/Arlington County Testing Site,1429 N Quincy St. Arlington VA 22207,703-558-5766
Capitol Travel Medicine,3800 North Fairfax Drive Arlington VA 22203,703-351-5100
Alexandria Primary Care Associates,4660 Kenmore Ave Alexandria VA 22304,703-370-9002
CVS Pharmacy – Ruby Dr.,19305 Ruby Drive Leesburg VA 20176,571-333-5918
Neighborhood Health,1200 N Howard St Alexandria VA 22304,703-535-5568
Inova Alexandria Hospital,4320 Seminary Rd Alexandria VA 22304,703-504-3000
Walgreens – Jefferson Davis Hwy.,14095 Jefferson Davis Hwy. Woodbridge VA 22191,703-491-3630
Kaiser Permanente - Woodbridge Medical Center,14139 Potomac Mills Rd Woodbridge VA 22191,703-490-8400
Patient First – Leesburg,601 Potomac Station Drive Leesburg VA 20176,703-840-1396
Neghborhood Health @ East Glebe Rd.,2 East Glebe Road Alexandria VA 22305,703-535-5568
NOVA MedLabs,540 Fort Evans Rd. Leesburg VA 20176,571-352-3458
Patient First – Alexandria,6311 Richmond Highway Alexandria VA 22306,703-647-6087
Neighborhood Health @ Richmond Highway,6677 Richmond Highway Alexandria Virginia 22306,703-535-5568
Walgreens – Richmond Hwy.,6717 Richmond Hwy. Alexandria VA 22306,703-721-0912
CVS Pharmacy – Ashland Community Sq.,5515 Ashland Community Sq. Manassas VA 20112,703-583-6924
AllCare Alexandria Immediate Care,6020 Richmond Hwy Alexandria VA 22303,571-308-6776
CVS Pharmacy – East Market St.,616 East Market Street Leesburg VA 20176,703-777-2940
CVS Pharmacy – Monroe Ave,415 E. Monroe Ave Alexandria VA 22301,703-683-4433
Inova Primary Care- Leesburg,51 Catoctin Cir NE Leesburg VA 20176,703-777-9510
Town Pediatrics,823 S King St Leesburg VA 20175,703-777-5522
Loop Wellness Clinic,108 Church Street SE Leesburg VA 20175,571-526-3505
Sameday Testing – Alexandria,309 S Washington St Alexandria VA 22314,310-697-8126
Inova Primary Care – Old Town,325 S Washington Street Alexandria VA 22314,703-683-7220
Inova Mount Vernon Hospital,2501 Parkers Ln Alexandria VA 22306,703-664-7000
Loudoun Medical Group,211 Gibson St NW Leesburg VA 20176,571-707-2070
Inova Emergency Room – Leesburg,224 Cornwall St NW Leesburg VA 20176,703-737-7520
Velocity Urgent Care – Woodbridge,16422 Navigation Dr. Woodbridge VA 22191,571-297-1437
CVS Pharmacy – Jefferson Davis Hwy.,16712 Jefferson Davis Hwy Dumfries VA 22026,703-221-7467
Next Care Urgent Care – Bristow,3990 Fettler Park Dr. Dumfries VA 22025,571-499-5813
Piedmont Urgent Care,493 Blackwell Road Warrenton Va 20186,540-347-5200
GoWell Urgent Care,75 West Lee Highway Warrenton VA 20186,540-351-0662
Fauquier Free Clinic,35 Rock Pointe Lane Warrenton VA 20186,540-347-0394
Piedmont Pediatrics,20 Rock Pointe Lane Warrenton VA 20186,540-347-9900
CVS Pharmacy – Garrisonville Rd.,388 Garrisonville Rd. Stafford VA 22554,540-659-7723
KidMed Urgent Care Stafford,20 Doc Stone Road Stafford VA 22556,540-602-7766
Garrisonville Urgent Care,9 Center St Stafford VA 22554,540-288-2222
Primary and Urgent Care,231 Garrisonville Road Stafford VA 22554,540-288-9888
Walmart Neighborhood Market – Stafford Complex Center,14 N Stafford Complex Center Stafford VA 22556,540-602-6125
CVS Pharmacy – Garrisonville Rd.,902 Garrisonville Road Stafford VA 22556,540-659-1313
Optimum Care,882 Garrisonville Road Stafford VA 22554,540-318-6464
Walgreens – 11037 Marsh Rd.,11037 Marsh Rd. Bealeton VA 22712,540-439-9742
Aquia Medical & Urgent Care,2765 Jefferson Davis Highway Stafford Virginia 22554,540-657-9191
CVS Pharmacy – 2614 Jefferson Davis Hwy.,2614 Jefferson Davis Hwy. Stafford VA 22555,540-657-4593
Mary Washington Healthcare-Stafford Hospital,101 Hospital Center Boulevard Stafford VA 22554,540-741-1100
Mary Washington Healthcare- King George,11131 Hospital Center Boulevard King George VA 22485,540-741-1100
CVS Pharmacy – McWhirt Lp.,1 Mcwhirt Lp. Fredericksburg VA 22406,540-371-2627
NextCare Urgent Care,15 S Gateway Dr Ste 101 Fredericksburg Virginia 22406,540-368-5603
CVS Pharmacy – Chatham Heights Rd.,450 Chatham Heights Rd. Fredericksburg VA 22405,540-373-3313
Mary Washington Healthcare,2300 Charles Street Fredericksburg VA 22401,540-741-1100
NextCare Urgent Care,330 White Oak Rd Fredericksburg Virginia 22405,540-373-2424
Mary Washington Healthcare,2300 Fall Hill Avenue Fredericksburg VA 22401,540-741-0999
Walgreens – 11129 Gordon Blvd.,11129 Gordon Blvd. Fredericksburg VA 22407,540-785-6634
Mary Washington Hospital,1001 Sam Perry Blvd Fredericksburg VA 22401,540-741-1000
Kaiser Permanente- Fredericksburg,1201 Hospital Drive Fredericksburg VA 22401,540-368-3700
CVS Pharmacy,1511 Jefferson Davis Hwy Fredericksburg VA 22401,540-899-6874
Primary and Urgent Care,2306 Plank Road Fredericksburg VA 22401,540-785-9900
Centercare Urgent Care,15521 Real Estate Ave King George Virginia 22485,540-289-2273
UVA Pediatrics Culpeper,16244 Bennett Rd. Culpeper VA 22701,540-825-5381
UVA Primary Care Family Care of Culpeper,16240 Bennett Rd. Culpeper VA 22701,540-825-5951
CVHS Fredericksburg,1965 Jefferson Davis Hwy Fredericksburg VA 22401,540-735-0560
CVS Pharmacy – Plank Rd.,4201 Plank Road Fredericksburg VA 22407,540-786-3008
BetterMed Urgent Care – Fredericksburg,4901 Plank Rd. Fredericksburg VA 22407,540-870-6540
Wellspring Health Services,15237 Creativity Drive Culpeper VA 22701,540-321-4281
Walgreens – Montanus Dr.,15250 Montanus Dr. Culpeper VA 22701,540-727-8976
NextCare Urgent Care,5825 Plank Rd Suite 105 Fredericksburg Virginia 22407,540-785-3448
UVA Primary Care Locust Grove,4376 Germanna Hwy Locust Grove VA 22508,540-972-7798
Centercare Urgent Care,7967 Kings Highway King George Virginia 22485,540-414-6120
CVS Pharmacy – Harrison Rd.,5832 Harrison Road Fredericksburg VA 22407,540-710-2426
CVS Pharmacy – Lafayette Blvd.,4501 Lafayette Blvd. Fredericksburg VA 22408,540-898-4523
MedExpress Culpeper, 1420 South Main Street Culpeper VA 22701,540-825-2202
St. Luke Community Clinic,316 N Royal Ave Front Royal VA 22630,540-636-4325
Valley Health Front Royal Urgent Care,65 Riverton Commons Plaza Front Royal VA 22630,540-536-0380
